demuc_id,chude_id,chude_ten, demuc_ten, score
4b6f90cb-015c-4cdd-9c87-b8ecc0470fdb,48d084d9-d3f1-4c13-a898-dde6840fe0ff,"Tôn giáo, tín ngưỡng","Tín ngưỡng, tôn giáo",40.0
4f1e7688-a75f-471f-b053-75eab7c11188,9daf2b7f-cf24-4c97-adf8-0903f6b7f18e,"Kế toán, kiểm toán",Kiểm toán Nhà nước,78.57142857142857
527141b6-8429-4502-868e-f34c7b180e0c,3f0ce861-9980-43c9-9dcc-8e064c536bee,"Khoa học, công nghệ",Công nghệ cao,73.0
55323c64-e78f-4537-afcd-6a3c2af3c71d,c3b69131-2931-4f67-926e-b244e18e8081,An ninh quốc gia,An ninh quốc gia,12.5
5679c4d3-5ccc-4bd8-8ed9-e849a866f444,b82ee309-2527-4a7d-8d4d-fccdfabbc86c,"Giao thông, vận tải",Hàng không dân dụng Việt Nam,53.875
583b913f-4d4b-46da-911c-112342c6ea49,5576c952-dabe-4363-b94a-13419996ff4b,Bảo hiểm,Bảo hiểm y tế,46.66666666666666
59750dbc-0ac3-4d75-928e-18983dc7ecf6,1c1f149f-f1bf-4ddb-9f6b-b2adbf17d410,Văn thư lưu trữ,Công tác văn thư,80.0
5f523176-05b6-4d4e-903d-a12faffaa759,487180ab-07c0-45c1-9e73-1ab76b2a55c9,"Văn hóa, thể thao, du lịch",Quảng cáo,85.0
606f1686-5fd0-4a16-aa1b-21acef306e78,ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,Kiểm soát thủ tục hành chính,82.0
62a101f0-01c7-41a9-b6b9-a4c04a4bb34b,ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,"Chức năng, nhiệm vụ, quyền hạn và tổ chức bộ máy của tổ chức pháp chế",65.0
66c59035-9acd-430a-affd-86563bc7ce77,c124612e-a23f-4199-8747-55fe4e8a8c89,"Bưu chính, viễn thông",An toàn thông tin mạng,29.0
673fcdfe-cda8-43aa-b3b9-f3e1e4710027,ff58c8ec-ab1b-4fdd-b732-5f09f9fa09cd,"Khiếu nại, tố cáo",Khiếu nại,75.0
69c5de18-47ab-4e67-a069-08c27a6e1ba7,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược",Dược,49.16666666666666
6d1742f8-bf8d-45f2-a18b-44fa107c360a,cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,Tổ chức cơ quan điều tra hình sự,32.0
6d281129-df44-468d-91ef-0e75fa435310,cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,Trách nhiệm bồi thường của Nhà nước,37.0
74254489-5f53-472e-978a-f6af98103323,81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",Trồng trọt,40.0
7434b4be-95be-4913-b9a4-7d67671c4466,88a4972a-48c2-4def-926b-a71b9f6e4be7,Thi hành án,Thi hành án dân sự,43.63636363636363
74578908-a474-48ba-a2e1-488ce45475aa,09ca05d1-7f1d-4887-a65d-a210374d1969,"Thuế, phí, lệ phí, các khoản thu khác",Thuế sử dụng đất nông nghiệp,57.5
76b5a1aa-cc76-45cf-9e54-837937d1a754,1c1f149f-f1bf-4ddb-9f6b-b2adbf17d410,Văn thư lưu trữ,Lưu trữ,81.0
7812bcbd-b493-41bd-9787-2589fde15e8f,c124612e-a23f-4199-8747-55fe4e8a8c89,"Bưu chính, viễn thông",Công nghệ thông tin,67.85714285714286
78cd97a5-7ff4-48b4-affc-42cd96aeec18,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Thông tin, báo chí, xuất bản",Báo chí,34.333333333333336
7aa2408a-41e6-4271-99e4-7b85a55ba7d6,09ca05d1-7f1d-4887-a65d-a210374d1969,"Thuế, phí, lệ phí, các khoản thu khác",Quản lý thuế,75.33333333333333
7b384cc2-bbb1-436c-a9fb-35487e6dc2ae,3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,Tổ chức bộ máy nhà nước,Mặt trận Tổ quốc Việt Nam,58.90909090909091
7ca2c60d-7e8f-4604-b622-7d297acd506f,c3b69131-2931-4f67-926e-b244e18e8081,An ninh quốc gia,Cơ yếu,67.5
7cdd63fb-16ea-4ed4-bf3c-6529a021b3d2,cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,Tố tụng hành chính,78.33333333333333
7d0dfc81-bcee-4437-9236-9066a6f45d3f,3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,Tổ chức bộ máy nhà nước,Tổ chức Viện kiểm sát nhân dân,56.0
7e486c5b-907f-4a92-9c0f-1742c0d013fb,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược","Khám bệnh, chữa bệnh",64.0
82e15104-9b5b-4b48-94f2-4ab37fc8e8a1,c124612e-a23f-4199-8747-55fe4e8a8c89,"Bưu chính, viễn thông",Bưu chính,80.0
83242e4c-1738-4140-afe5-a5d4f0b8d776,efbefb52-bf45-41df-aaf4-6a4e833f333e,"Dân số, gia đình, trẻ em, bình đẳng giới",Bình đẳng giới,90.0
84a4b90e-6b07-41ca-919d-759cfb657f3f,c3b69131-2931-4f67-926e-b244e18e8081,An ninh quốc gia,Bảo vệ bí mật nhà nước,70.0
